Relatório de Anúncios de Produto - Shopee Brasil,,,,,,,,,,,,,,,,,,,,,,,
Nome de Usuário,,,,,,,,,,,,,,,,,,,,,,,
Nome da loja,,,,,,,,,,,,,,,,,,,,,,,
ID da Loja,,,,,,,,,,,,,,,,,,,,,,,
Nome do Produto / Anúncio,Kit 3 Sutiã Amamentação Renda Sem Bojo Reforçado Gestante Pós Parto,,,,,,,,,,,,,,,,,,,,,,
ID do Produto,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data de Criação do Relatório,,,,,,,,,,,,,,,,,,,,,,,
Período,04/05/2024 - 10/05/2024,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Busca,,,,,,,,,,,,,,,,,,,,,,,
#,Palavras-chave,Tipo de combinação,Consulta de pesquisa,Método de Lance,Impressão,Cliques,CTR,Conversões,Conversões Diretas,Taxa de Conversão,Taxa de Conversão Direta,Custo por Conversão,Custo por Conversão Direta,Itens Vendidos,Itens Vendidos Diretos,VBM,Receita direta,Despesas,Posicionamento Médio,ROAS,ROAS Direto,ACOS,ACOS Direto
79,amamentação,Correspondência Ampla,sutiã amamentação,Lance Manual,47,1,2.13%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,22,0.00,0.00,0.00%,0.00%
80,maternidade,Correspondência Ampla,roupa maternidade,Lance Manual,46,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,21,0.00,0.00,0.00%,0.00%
81,maternidade,Correspondência Ampla,kit bebê,Lance Manual,46,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,31,0.00,0.00,0.00%,0.00%
82,amamentação,Correspondência Ampla,sutian com bojo,Lance Manual,45,3,6.67%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.45,24,0.00,0.00,0.00%,0.00%
83,gestante,Correspondência Ampla,calcinha para gestante,Lance Manual,45,3,6.67%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.36,18,0.00,0.00,0.00%,0.00%
84,maternidade,Correspondência Ampla,pijama gestante,Lance Manual,45,1,2.22%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,22,0.00,0.00,0.00%,0.00%
85,gestante,Correspondência Ampla,sutiã gestante,Lance Manual,44,6,13.64%,1,1,16.67%,16.67%,0.72,0.72,1,1,39.90,39.90,0.72,6,55.42,55.42,1.80%,1.80%
86,amamentação,Correspondência Ampla,sutia de amamentação com bojo,Lance Manual,44,3,6.82%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.45,6,0.00,0.00,0.00%,0.00%
87,amamentação,Correspondência Ampla,sutiã amamentação lupo,Lance Manual,44,1,2.27%,1,1,100.00%,100.00%,0.15,0.15,1,1,39.90,39.90,0.15,12,266.00,266.00,0.38%,0.38%
88,maternidade,Correspondência Ampla,roupa para gestante,Lance Manual,44,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,14,0.00,0.00,0.00%,0.00%
